userid,name,team,videowatched,datewatched,watchtime,feedback
101,John Doe,Team A,Video 1,2026-01-05,45,
102,jane smith,team a,Video 2,2026-01-07,30 mins,
103,Mike Johnson,Team B,Video 3,2026-07-01,,Good
104,Emily Davis,Team B,Video 1,2026-01-08,60,excellent
105,Chris Lee,Team C,Video 4,2026-13-01,50,
106,Anna Kim,Team C,Video 2,2026-01-09,-20,ok
107,Robert Brown,Team A,Video 3,2026-01-10,40,
108,Laura Wilson,,Video 5,2026-01-11,35,Good
109,David Clark,Team D,Video 1,2026-01-12,forty,bad
110,Sophia Martinez,Team D,Video 2,2026-01-12,25,Good
111,James Anderson,Team A,,2026-01-13,30,Average
112,Olivia Thomas,Team B,Video 6,2026-01-14,,Excellent
